event, date, match, matchType, matchNum, color, autoSwitchTime, autoScaleTime, autoScore, autoSwitchAtZero, youtube 
2018abca,1523119831,2018abca_qm67, qm,67,blue,15,15, 10,False,"no video"
2018abca,1523119831,2018abca_qm67,qm,67,red,5,15,35,True,"no video"
2018abca,1523120287,2018abca_qm68, qm,68,blue,15,15, 15,False,"no video"
2018abca,1523120287,2018abca_qm68,qm,68,red,4,12,43,True,"no video"
2018abca,1523120753,2018abca_qm69, qm,69,blue,12,15, 21,True,"no video"
2018abca,1523120753,2018abca_qm69,qm,69,red,15,15,15,False,"no video"
2018abca,1523031986,2018abca_qm7, qm,7,blue,15,15, 0,False,"no video"
2018abca,1523031986,2018abca_qm7,qm,7,red,15,15,5,False,"no video"
2018abca,1523121177,2018abca_qm70, qm,70,blue,15,15, 15,False,"no video"
2018abca,1523121177,2018abca_qm70,qm,70,red,5,15,35,True,"no video"
2018abca,1523032442,2018abca_qm8, qm,8,blue,8,15, 24,True,"no video"
2018abca,1523032442,2018abca_qm8,qm,8,red,6,15,33,True,"no video"
2018abca,1523033243,2018abca_qm9, qm,9,blue,15,12, 16,False,"no video"
2018abca,1523033243,2018abca_qm9,qm,9,red,5,15,35,True,"no video"
2018abca,1523134148,2018abca_sf1m1, sf,1,blue,13,15, 19,True,"no video"
2018abca,1523134148,2018abca_sf1m1,sf,1,red,8,6,47,True,"no video"
2018abca,1523135499,2018abca_sf1m2, sf,2,blue,9,15, 27,True,"no video"
2018abca,1523135499,2018abca_sf1m2,sf,2,red,6,9,45,True,"no video"
2018abca,1523134738,2018abca_sf2m1, sf,1,blue,6,15, 33,True,"no video"
2018abca,1523134738,2018abca_sf2m1,sf,1,red,4,15,37,True,"no video"
2018abca,1523135965,2018abca_sf2m2, sf,2,blue,6,15, 33,True,"no video"
2018abca,1523135965,2018abca_sf2m2,sf,2,red,4,15,37,True,"no video"
2018abca,1523136851,2018abca_sf2m3, sf,3,blue,5,15, 35,True,"no video"
2018abca,1523136851,2018abca_sf2m3,sf,3,red,4,13,41,True,"no video"
2018alhu,1521318651,2018alhu_f1m1, f,1,blue,6,15, 33,True,=HYPERLINK("https://youtu.be/O8zSzLPYQy4")
2018alhu,1521318651,2018alhu_f1m1,f,1,red,6,15,33,True,=HYPERLINK("https://youtu.be/O8zSzLPYQy4")
2018alhu,1521319442,2018alhu_f1m2, f,2,blue,7,15, 31,True,=HYPERLINK("https://youtu.be/wyl0TbMxWCE")
2018alhu,1521319442,2018alhu_f1m2,f,2,red,10,11,33,True,=HYPERLINK("https://youtu.be/wyl0TbMxWCE")
2018alhu,1521322139,2018alhu_f1m3, f,3,blue,6,15, 33,True,=HYPERLINK("https://youtu.be/M5K6m3bwrU8")
2018alhu,1521322139,2018alhu_f1m3,f,3,red,10,12,31,True,=HYPERLINK("https://youtu.be/M5K6m3bwrU8")
2018alhu,1521311503,2018alhu_qf1m1, qf,1,blue,8,15, 29,True,=HYPERLINK("https://youtu.be/AGD1J7euVS0")
2018alhu,1521311503,2018alhu_qf1m1,qf,1,red,6,15,33,True,=HYPERLINK("https://youtu.be/AGD1J7euVS0")
2018alhu,1521313583,2018alhu_qf1m2, qf,2,blue,8,15, 29,True,=HYPERLINK("https://youtu.be/msvAplXb2dk")
2018alhu,1521313583,2018alhu_qf1m2,qf,2,red,15,15,10,False,=HYPERLINK("https://youtu.be/msvAplXb2dk")
2018alhu,1521312220,2018alhu_qf2m1, qf,1,blue,6,15, 33,True,=HYPERLINK("https://youtu.be/PRTQBhJcNAk")
2018alhu,1521312220,2018alhu_qf2m1,qf,1,red,6,15,28,True,=HYPERLINK("https://youtu.be/PRTQBhJcNAk")
2018alhu,1521313920,2018alhu_qf2m2, qf,2,blue,6,15, 33,True,=HYPERLINK("https://youtu.be/pE1LY7WSj50")
2018alhu,1521313920,2018alhu_qf2m2,qf,2,red,15,11,23,False,=HYPERLINK("https://youtu.be/pE1LY7WSj50")
2018alhu,1521315021,2018alhu_qf2m3, qf,3,blue,6,15, 33,True,=HYPERLINK("https://youtu.be/rekacjlpk9Y")
2018alhu,1521315021,2018alhu_qf2m3,qf,3,red,6,15,33,True,=HYPERLINK("https://youtu.be/rekacjlpk9Y")
2018alhu,1521312739,2018alhu_qf3m1, qf,1,blue,15,10, 20,False,=HYPERLINK("https://youtu.be/lt135A2J-p8")
2018alhu,1521312739,2018alhu_qf3m1,qf,1,red,6,15,33,True,=HYPERLINK("https://youtu.be/lt135A2J-p8")
2018alhu,1521314282,2018alhu_qf3m2, qf,2,blue,15,11, 23,False,=HYPERLINK("https://youtu.be/mpSa5YwTxYo")
2018alhu,1521314282,2018alhu_qf3m2,qf,2,red,7,15,31,True,=HYPERLINK("https://youtu.be/mpSa5YwTxYo")
2018alhu,1521313210,2018alhu_qf4m1, qf,1,blue,5,15, 35,True,=HYPERLINK("https://youtu.be/o1E_YDWUDzo")
2018alhu,1521313210,2018alhu_qf4m1,qf,1,red,11,10,33,True,=HYPERLINK("https://youtu.be/o1E_YDWUDzo")
2018alhu,1521314649,2018alhu_qf4m2, qf,2,blue,5,15, 35,True,=HYPERLINK("https://youtu.be/5y5l7FJPyH4")
2018alhu,1521314649,2018alhu_qf4m2,qf,2,red,11,10,33,True,=HYPERLINK("https://youtu.be/5y5l7FJPyH4")
2018alhu,1521209434,2018alhu_qm1, qm,1,blue,15,15, 10,False,=HYPERLINK("https://youtu.be/dJInIprbWVU")
2018alhu,1521209434,2018alhu_qm1,qm,1,red,15,15,10,False,=HYPERLINK("https://youtu.be/dJInIprbWVU")
2018alhu,1521214479,2018alhu_qm10, qm,10,blue,15,15, 5,False,=HYPERLINK("https://youtu.be/SD00Sq3oc4Q")
2018alhu,1521214479,2018alhu_qm10,qm,10,red,6,15,23,True,=HYPERLINK("https://youtu.be/SD00Sq3oc4Q")
2018alhu,1521214882,2018alhu_qm11, qm,11,blue,6,15, 28,True,=HYPERLINK("https://youtu.be/xSdxzyOkkd0")
2018alhu,1521214882,2018alhu_qm11,qm,11,red,15,15,15,False,=HYPERLINK("https://youtu.be/xSdxzyOkkd0")
2018alhu,1521215295,2018alhu_qm12, qm,12,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/_aVTy9e_5MQ")
2018alhu,1521215295,2018alhu_qm12,qm,12,red,15,15,5,False,=HYPERLINK("https://youtu.be/_aVTy9e_5MQ")
2018alhu,1521215714,2018alhu_qm13, qm,13,blue,15,11, 18,False,=HYPERLINK("https://youtu.be/RMWDATxw1SQ")
2018alhu,1521215714,2018alhu_qm13,qm,13,red,7,15,26,True,=HYPERLINK("https://youtu.be/RMWDATxw1SQ")
2018alhu,1521216296,2018alhu_qm14, qm,14,blue,12,15, 21,True,=HYPERLINK("https://youtu.be/5TSbsRWKOTU")
2018alhu,1521216296,2018alhu_qm14,qm,14,red,15,15,5,False,=HYPERLINK("https://youtu.be/5TSbsRWKOTU")
2018alhu,1521216870,2018alhu_qm15, qm,15,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/dMsfmg2xb4Y")
2018alhu,1521216870,2018alhu_qm15,qm,15,red,15,15,5,False,=HYPERLINK("https://youtu.be/dMsfmg2xb4Y")
2018alhu,1521217319,2018alhu_qm16, qm,16,blue,15,11, 13,False,=HYPERLINK("https://youtu.be/TP-qXTkuV2Y")
2018alhu,1521217319,2018alhu_qm16,qm,16,red,15,15,15,False,=HYPERLINK("https://youtu.be/TP-qXTkuV2Y")
2018alhu,1521217762,2018alhu_qm17, qm,17,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/ViiCHK71ih0")
2018alhu,1521217762,2018alhu_qm17,qm,17,red,6,15,28,True,=HYPERLINK("https://youtu.be/ViiCHK71ih0")
2018alhu,1521218254,2018alhu_qm18, qm,18,blue,15,15, 10,False,=HYPERLINK("https://youtu.be/g9_e7p_itLU")
2018alhu,1521218254,2018alhu_qm18,qm,18,red,15,15,10,False,=HYPERLINK("https://youtu.be/g9_e7p_itLU")
2018alhu,1521218760,2018alhu_qm19, qm,19,blue,6,15, 33,True,=HYPERLINK("https://youtu.be/4N-QRyW_eV4")
2018alhu,1521218760,2018alhu_qm19,qm,19,red,15,15,15,False,=HYPERLINK("https://youtu.be/4N-QRyW_eV4")
2018alhu,1521209999,2018alhu_qm2, qm,2,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/vgOJjS7HzfM")
2018alhu,1521209999,2018alhu_qm2,qm,2,red,7,15,31,True,=HYPERLINK("https://youtu.be/vgOJjS7HzfM")
2018alhu,1521219146,2018alhu_qm20, qm,20,blue,6,15, 33,True,=HYPERLINK("https://youtu.be/okqRuQCpYcw")
2018alhu,1521219146,2018alhu_qm20,qm,20,red,15,15,10,False,=HYPERLINK("https://youtu.be/okqRuQCpYcw")
2018alhu,1521223585,2018alhu_qm21, qm,21,blue,6,15, 33,True,=HYPERLINK("https://youtu.be/y5vdbcES3ME")
2018alhu,1521223585,2018alhu_qm21,qm,21,red,15,15,15,False,=HYPERLINK("https://youtu.be/y5vdbcES3ME")
2018alhu,1521224069,2018alhu_qm22, qm,22,blue,12,11, 29,True,=HYPERLINK("https://youtu.be/RhG3Zwi4sak")
2018alhu,1521224069,2018alhu_qm22,qm,22,red,15,15,5,False,=HYPERLINK("https://youtu.be/RhG3Zwi4sak")
2018alhu,1521224519,2018alhu_qm23, qm,23,blue,7,13, 35,True,=HYPERLINK("https://youtu.be/gqNzzRiQU5Q")
2018alhu,1521224519,2018alhu_qm23,qm,23,red,12,15,16,True,=HYPERLINK("https://youtu.be/gqNzzRiQU5Q")
2018alhu,1521224924,2018alhu_qm24, qm,24,blue,15,15, 10,False,=HYPERLINK("https://youtu.be/tVzNNoVNS00")
2018alhu,1521224924,2018alhu_qm24,qm,24,red,4,15,37,True,=HYPERLINK("https://youtu.be/tVzNNoVNS00")
2018alhu,1521225426,2018alhu_qm25, qm,25,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/yztTkHgyf6k")
2018alhu,1521225426,2018alhu_qm25,qm,25,red,15,15,15,False,=HYPERLINK("https://youtu.be/yztTkHgyf6k")
2018alhu,1521225806,2018alhu_qm26, qm,26,blue,15,15, 15,False,=HYPERLINK("https://youtu.be/55fXus5OIRY")
2018alhu,1521225806,2018alhu_qm26,qm,26,red,7,15,31,True,=HYPERLINK("https://youtu.be/55fXus5OIRY")
2018alhu,1521226376,2018alhu_qm27, qm,27,blue,6,15, 28,True,=HYPERLINK("https://youtu.be/c8I13cuM4ps")
2018alhu,1521226376,2018alhu_qm27,qm,27,red,15,15,10,False,=HYPERLINK("https://youtu.be/c8I13cuM4ps")
2018alhu,1521226783,2018alhu_qm28, qm,28,blue,10,11, 33,True,=HYPERLINK("https://youtu.be/SI_TXFMNsBA")
2018alhu,1521226783,2018alhu_qm28,qm,28,red,7,15,31,True,=HYPERLINK("https://youtu.be/SI_TXFMNsBA")
2018alhu,1521227184,2018alhu_qm29, qm,29,blue,15,15, 10,False,=HYPERLINK("https://youtu.be/OrMnsTV-RNo")
2018alhu,1521227184,2018alhu_qm29,qm,29,red,12,15,21,True,=HYPERLINK("https://youtu.be/OrMnsTV-RNo")
